ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (lbs)","Length (in)","Width (in)","Height (in)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Meta: _eael_post_view_count","Meta: woolentor_views_count_product","Meta: woolentor_total_stock_quantity","Meta: _saleflash_text","Meta: wholesale_customer_wholesale_price","Meta: wholesale_customer_have_wholesale_price","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 6 name","Attribute 6 value(s)","Attribute 6 visible","Attribute 6 global","Meta: _oembed_ded3c4e4bb513870dac2e1470201b98c","Meta: tire_size","Meta: _tire_size","Meta: section_width","Meta: _section_width","Meta: aspect_ratio","Meta: _aspect_ratio","Meta: rim_diameter","Meta: _rim_diameter","Meta: overall_diameter","Meta: _overall_diameter","Meta: tread_depth","Meta: _tread_depth","Meta: approved_rim_width","Meta: _approved_rim_width","Meta: Sidewall_Style","Meta: _Sidewall_Style","Meta: load_index","Meta: _load_index","Meta: load_range","Meta: _load_range","Meta: speed_rating","Meta: _speed_rating","Meta: utqg","Meta: _utqg","Meta: brand","Meta: _brand","Meta: model","Meta: _model","Meta: sku","Meta: mpn","Meta: _mpn","Meta: season","Meta: _season","Meta: tire_type","Meta: _tire_type","Meta: vehicle_type","Meta: _vehicle_type","Meta: run_flat","Meta: _run_flat","Meta: country_origin","Meta: _country_origin","Meta: warranty","Meta: _warranty","Meta: variation_swatches_disabled","Meta: product_video","Meta: _product_video"
987,simple,,,"K9 30x10.00-14",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,150,Powersports,,,https://priory.wisex3.com/wp-content/uploads/2026/01/images-1.jpg,,,,,,,,,0,,"Max PSI",36,1,0,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1007,simple,,,"K9 7.00/7.50R16",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,130,Construction,,,https://priory.wisex3.com/wp-content/uploads/2026/01/10-16.5_APER_SOLID_TIRES_8_HOL_prod_14937_l_k9ap-copy-1-scaled.png,,,,,,,,,0,,Application,Construction,1,0,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1008,simple,,,"K9 13/14.00R24",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,180,Forklift,,,https://priory.wisex3.com/wp-content/uploads/2026/01/images-2.jpg,,,,,,,,,0,,"Tire Size",13/14.00R24,1,0,2,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1034,simple,,,"K9 8.00R16",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,110,Trailer,,,https://priory.wisex3.com/wp-content/uploads/2026/01/11L-15_F3_10PR_TL_K9_prod_14667_l_4600-copy-1.png,,,,,,,,,0,,Application,Trailer,1,0,2,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1035,simple,,,"K9 4.10/3.50-6",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,60,"Lawn & Garden",,,https://priory.wisex3.com/wp-content/uploads/2026/01/61DkOtchYUL._AC_UL495_SR435495_.jpg,,,,,,,,,0,,"Tire Size",4.10/3.50-6,1,0,8,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1044,simple,,,"K9 13.6/14.9R30",1,0,visible,,,,,taxable,,1,,,0,0,,,,,0,,,170,Golf,,,https://priory.wisex3.com/wp-content/uploads/2026/01/2217_Z-e1770383008837.jpg,,,,,,,,,0,,"Tire Size",13.6/14.9R30,1,0,9,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1054,simple,,,"K9 12.4R28",1,1,visible,,,,,taxable,,1,,,0,0,,,,,0,,,160,Agriculture,,,https://priory.wisex3.com/wp-content/uploads/2026/01/skid-copy-1.png,,,,,,,,,0,,"Rim Size",28,1,0,22,39,,,100,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3176,variable,field_69ee947c7f1a1,,"K9 Del Rio",1,0,visible,"All season mud terrain tire for ATV &amp; UTV vehicles with enhanced traction, stability, and durability.","The K9 Del Rio is a mud terrain, all season tire manufactured for ATVs and UTVs. The ideal tread design manages to keep constant surface contact on versatile terrain surfaces. The non-directional tread design greatly upgrades steering responsiveness and driving stability. The large staggered blocks optimize its soft, loose, and uneven terrain traction. The special tread design eliminates mud and snow from the tread, which keeps the footprint clean and improves constant surface contact. The K9 Del Rio promotes excellent traction on versatile terrain and offers a secure performance throughout the year.",,,taxable,,1,100,,0,0,,,,,0,,,,"ATV & UTV Tires","8 Ply, All Season, Mud Terrain",,"https://priory.wisex3.com/wp-content/uploads/2026/04/k9-del-rio-600x600-1.jpg, https://priory.wisex3.com/wp-content/uploads/2026/04/K9-DEL-RIO-25X8R12x4.jpg, https://priory.wisex3.com/wp-content/uploads/2026/04/K9-DEL-RIO-27X09R14-2.jpg, https://priory.wisex3.com/wp-content/uploads/2026/04/K9-DEL-RIO-27X9R14x2.jpg, https://priory.wisex3.com/wp-content/uploads/2026/04/K9-DEL-RIO-27X09R14-lifestyle.jpg",,,,,,,,,0,,"Tire Size","25X8.00R12 8 Ply, 26X9.00R12 8 Ply, 27X11.00R14 8 Ply, 27X9.00R14 8 Ply",1,1,,28,,,,,"Rim Size","12 inches, 14 inches",1,1,Width,9.00,0,1,"Load Range","12 Ply, 8 Ply",1,1,"Vehicle Type","ATV & UTV",1,1,"Tire Type","Mud Terrain",1,1,{{unknown}},27X9.00R14,field_69ee4c8302015,9.00,field_69ee4e2302016,N/A,field_69ee4e4502017,"14 inches",field_69ee4e7a02018,"27 inches",field_69ee4e8d02019,N/A,field_69ee4ea00201a,"Not specified",field_69ee4ec50201b,"BSW: Black Side Wall",field_69ee4f050201c,N/A,field_69ee94227f19b,"8 Ply",field_69ee94347f19c,N/A,field_69ee944b7f19d,N/A,field_69ee945c7f19e,K9,field_69ee94647f19f,"Del Rio",field_69ee94737f1a0,N987339-99,K9-279R14-DR,field_69ee94897f1a2,"All Season",field_69ee94917f1a3,"Mud Terrain",field_69ee94977f1a4,"ATV & UTV",field_69ee94a87f1a5,No,field_69ee94b07f1a6,N/A,field_69ee94b87f1a7,"Not specified",field_69ee94bf7f1a8,no,https://priory.wisex3.com/wp-content/uploads/2026/04/K9-DEL-RIO-27X9R14.mov,field_69ee235739028
3295,variation,,,"K9 Del Rio",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,120,,,,,,,field_69ee947c7f1a1,,,,,,1,,"Tire Size","25X8.00R12 8 Ply",,1,,,,,,,"Rim Size","12 inches",,1,"Load Range","8 Ply",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3299,variation,,,"K9 Del Rio",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,110,,,,,,,field_69ee947c7f1a1,,,,,,2,,"Tire Size","26X9.00R12 8 Ply",,1,,,,,,,"Rim Size","12 inches",,1,"Load Range","8 Ply",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3305,variation,,,"K9 Del Rio",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,150,,,,,,,field_69ee947c7f1a1,,,,,,3,,"Tire Size","27X11.00R14 8 Ply",,1,,,,,,,"Rim Size","14 inches",,1,"Load Range","8 Ply",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3309,variation,,,"K9 Del Rio",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,130,,,,,,,field_69ee947c7f1a1,,,,,,4,,"Tire Size","27X9.00R14 8 Ply",,1,,,,,,,"Rim Size","14 inches",,1,"Load Range","8 Ply",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
